Project ID	Assay type	Project title	Project description	Public accession	Journal	Total runs	Processed runs	Related phenotypes	Related phenotype IDs
PRJEB35665	16S;ITS	Microbiota in early melanoma patients	Background: The microbiome is emerging as a crucial player of the immune checkpoint in cancer. Melanoma is a highly immunogenic tumour, and the gut microbiome composition has been correlated to prognosis and evolution of advanced melanoma and proposed as biomarker for immune checkpoint therapy. Objectives: We investigated the gut fungal and bacterial composition in early stage melanoma (M) and melanoma associated leukoderma (MAL) patients and correlated microbial profiles with histopathological features. Methods: Bacterial 16S rRNA gene and fungal ITS region sequencing was performed from faecal samples of patients affected by stage I and II M, MAL, and healthy controls. A meta-analysis with gut microbiota data from metastatic M patients was also carried out. Results: We found a combination of gut fungal and bacterial profiles significantly discriminating M patients from controls. In M patients, we observed an abundance of Prevotella copri, a butyrate-producing bacteria, and yeasts belonging to the Saccharomycetales order. In addition, a specific fungal profile significantly correlated to melanoma regression, whereas bacterial and fungal community, separately or combined, correlated to melanoma invasiveness. Bacteroides ovatus was identified as general marker of immunogenicity, being shared by regressive and invasive melanoma. Conclusions: Gut microbiota composition in early stage melanoma changes along the gradient from in situ to invasive melanoma. We hypothesize that changes in the microbiota and mycobiota might contribute to the better prognosis of early stage melanoma through a direct or indirect immunomodulation, and, on the other hand, to the unfavourable course and response to immune therapy of advanced stage melanoma.	34227096	British Journal of Dermatology	73	74	Health;Melanoma	D006262;D008545
PRJNA397906	WGS	Metagenomic shotgun sequencing of gut microbiomes of melanoma patients receiving immune checkpoint inhibitor therapy		28923537	Neoplasia	39	39	Melanoma	D008545
PRJNA302832	16S;WGS	Human gut Metagenome	16S ribosomal RNA (rRNA) gene amplicon sequencing of fecal samples collected from melanoma patients prior to ipilimumab treatment	26837003	Nature Communications	78	78	Melanoma	D008545
PRJEB22893	WGS	Gut microbiome impacts response to PD-1 immunotherapy in melanoma patients	Pre-clinical mouse models have suggested that the gut microbiome modulates tumor response to checkpoint blockade immunotherapy, however this has not been well-characterized in human cancer patients. Here we examined the oral and gut microbiome of melanoma patients undergoing PD-1 blockade immunotherapy (n=112). Significant differences were observed in the diversity and composition of the patient gut microbiome of responders (R) versus non-responders (NR). Analysis of patient fecal microbiome samples (n=43, 30R, 13NR) showed significantly higher alpha diversity (p<0.01) and relative abundance of Ruminococcaceae bacteria (p<0.01) in R. Metagenomic studies revealed functional differences in gut bacteria in R including enrichment of anabolic pathways. Immune profiling found enhanced systemic and anti-tumor immunity in responding patients with a favorable gut microbiome, as well as in germ-free mice receiving fecal transplants from responding patients. Together, these data have important implications for treatment with immune checkpoint blockade in melanoma.	29097493	Science	25	25	Melanoma	D008545
PRJNA399742	16S;WGS	Commensal microbiota associated with anti-PD-1 efficacy in metastatic melanoma patients	Anti-PD-1-based immunotherapy is having a major impact on cancer outcomes but only benefits a subset of patients. Among the variables that could contribute to inter-patient heterogeneity is differential composition of the commensal microbiota, which preclinically has been shown to affect anti-tumor immunity and immunotherapy efficacy in mice. Baseline stool samples were analyzed from metastatic melanoma patients prior to immunotherapy treatment, through an integration of 16S rRNA sequencing, metagenomic shotgun sequencing, and quantitative PCR for selected bacteria. A significant association between commensal microbial composition and clinical response was observed. Reconstitution of germ-free mice with fecal material from a responding patient led to improved tumor control, augmented T cell responses, and a distinct microbiota compared to a non-responding patient. Our results indicate a mechanistic impact of the commensal microbiota on anti-tumor immunity in human cancer patients.	29302014	Science	81	81	Melanoma	D008545
PRJNA507734	16S	Gut microbiota in lung cancer patients	Investigate phylogenetic compositions in gut microbiota between lung cancer patients and healthy volunteers	31065547	Front Cell Infect Microbiol	60	60	Health;Lung Neoplasms	D006262;D008175
PRJNA574517	16S	feces metagenome	We explored the changes of intesintal microbiota from lung cancer patients with targeted therapy	33240237	Frontiers in Microbiology	29	29	Carcinoma, Non-Small-Cell Lung;Health	D002289;D006262
PRJNA574542	16S	feces metagenome Raw sequence reads	We explored the changes of intestinal microbiota from NSCLC patients during the therapy	35892858	Cancers	18	18	Carcinoma, Non-Small-Cell Lung	D002289
PRJNA626477	WGS	human gut microbiota Raw sequence reads with and without cancer cachexia		34002024	The ISME Journal	31	31	Lung Neoplasms	D008175
PRJNA681703	16S	19 samples of healthy controls and 28 samples of Lung cancer	16S rRNA analysis of 19 fecal samples of healthy controls and 28 fecal samples of Lung cancer	10.21203/rs.3.rs-236933/v1	Research Square	0	47	Health;Lung Neoplasms	D006262;D008175
