Project ID	Assay type	Project title	Project description	Public accession	Journal	Total runs	Processed runs	Related phenotypes	Related phenotype IDs
PRJNA880658	WGS	metagenome analysis of human gut microbiota	study aimed to reveal the microbiota composition of fecal samples of colorectal cancer Egyptian patients	NA	NA	5	5	Colorectal Neoplasms	D015179
PRJDB11845	16S	Oral and intestinal microbiota analysis of colorectal cancer patients	Oral microbiota is reportedly associated with gut microbiota and influences colorectal cancer (CRC) progression; however, the details remain unclear. This study aimed to evaluate the role of oral microbiota in CRC progression. Fifty-two patients with CRC and 51 healthy controls were included. Saliva and stool samples were collected and microbiota were evaluated using 16S rRNA analysis and next-generation sequencing. Comparative analysis was performed on both groups.	34283063	Cancers	103	103	Colorectal Neoplasms;Health	D006262;D015179
PRJNA445346	16S	16S rRNA gene amplicon sequencing of patients with colorectal cancer	A collection of 16S rRNA gene amplicon sequences from patients with colorectal cancer, and technical controls. Samples come from stool, mucosa, tissue biopsies and tumor biopsies.	29704665	Methods	31	112	Colorectal Neoplasms	D015179
PRJNA356414	16S	CRC microbiome pilot	This study used Next-Generation Sequencing (NGS) to analyze and compare human microbiota from saliva, feces and colon biopsy of an homogeneous cohort of Italian colorectal cancer (CRC) patients and healthy controls.	29375539	Frontiers in Microbiology	19	20	Colorectal Neoplasms;Health	D006262;D015179
PRJNA430990	16S	Enterotype-based Gut Microbiota along the CRC Pathway	Enterotype-based Analysis of Gut Microbiota along the Conventional Adenoma-Carcinoma Colorectal Cancer Pathway	31358825	Scientific Reports	283	283	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJEB12449	WGS	Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington, DC, USA	Accumulating evidence indicates that the gut microbiota affects colorectal cancer development, but previous studies have varied in population, technical methods, and associations with cancer. Understanding these variations is needed for comparisons and for potential pooling across studies. Therefore, we performed whole-genome shotgun metagenomics sequencing on fecal samples from 52 pre-treatment colorectal cancer cases and 52 matched controls from Washington, DC. We compared findings from a previous 16S rRNA study to the metagenomics-derived taxonomy within the same population. In addition, metagenome-predicted genes, modules, and pathways in the Washington, DC cases and controls were compared to cases and controls recruited in France whose specimens were processed using the same platform. Associations between the presence of fecal Fusobacteria, Fusobacterium, and Porphyromonas with colorectal cancer detected by 16S rRNA were reproduced by metagenomics, whereas higher relative abundance of Clostridia in cancer cases based on 16S rRNA was merely borderline based on metagenomics. Considering significant cancer associations with the relative abundance of genes, modules, and pathways in the French population, statistically significant associations in the Washington, DC population were detected for four out of 10 genes, three out of nine modules, and seven out of 17 pathways. In conclusion, metagenomic sequencing results reproduced most, but not all of the major taxonomic associations with colorectal cancer previously observed from 16S rRNA profiles. In addition, colorectal cancer in the Washington, DC study was associated with 39% of the metagenome-predicted genes, modules, and pathways identified from the French study. More within and between population comparisons are needed to identify sources of variation and disease associations that can be reproduced despite these variations. Future studies must have larger sample sizes or pool data across studies to have sufficient power to detect associations that are reproducible and significant after correction for multiple testing.	27171425	Plos One	834	834	Colorectal Neoplasms;Health	D006262;D015179
PRJNA453829	16S	Alteration of microbiota in patients after resection for colorectal cancer	This is the first ever investigation of the alteration of microbiota from postoperative patients with CRC, and associated microbiota with the prognosis of postoperative patients.	30548192	Environmental microbiology	116	116	Colorectal Neoplasms;Health	D006262;D015179
PRJEB27928	WGS	Meta-analysis of fecal metagenomes reveals global microbial signatures that are specific for colorectal cancer.	Association studies have linked microbiome alterations with many human diseases. However, they have not always reported consistent results, thereby necessitating cross-study comparisons. Here, a meta-analysis of eight geographically and technically diverse fecal shotgun metagenomic studies of colorectal cancer (CRC, n = 768), which was controlled for several confounders, identified a core set of 29 species significantly enriched in CRC metagenomes (false discovery rate (FDR) < 1 × 10-5). CRC signatures derived from single studies maintained their accuracy in other studies. By training on multiple studies, we improved detection accuracy and disease specificity for CRC. Functional analysis of CRC metagenomes revealed enriched protein and mucin catabolism genes and depleted carbohydrate degradation genes. Moreover, we inferred elevated production of secondary bile acids from CRC metagenomes, suggesting a metabolic link between cancer-associated gut microbes and a fat- and meat-rich diet. Through extensive validations, this meta-analysis firmly establishes globally generalizable, predictive taxonomic and functional microbiome CRC signatures as a basis for future diagnostics.	30936547	Nature Medicine	260	260	Colorectal Neoplasms;Health	D006262;D015179
PRJNA397219	WGS	Gut metagenomes of patients with colorectal cancer	We sequenced the gut metagenomes of patients with colorectal cancer, together age- and sex-matched controls. Our goal is to analyze their taxonomic and functional profiles, as well as reconstruct bacterial and archaeal genomes of interest, related to the microbial metabolic toxicity that may be driving colorectal cancer progression.	29704665	Methods	87	88	Colorectal Neoplasms;Health	D006262;D015179
PRJNA445640	16S	The fecal samples from CRC patients were collected during the chemotherapy. Raw sequence reads	We collected the fecal samples from colorectal cancer patients during five stages of chemotherapy.	31134034	Frontiers in Microbiology	43	43	Colorectal Neoplasms;Health	D006262;D015179
PRJEB10878	WGS	Metagenomic analysis of fecal microbiome as a tool towards targeted non-invasive biomarkers for colorectal cancer	We performed a metagenome-wide association study on fecal samples from 74 CRC patients and 54 controls from China and validated the results in 16 patients and 24 controls from Denmark. We further validated the biomarkers in two published cohorts from France and Austria. Finally, we employed targeted quantitative PCR (qPCR) assays to evaluate the diagnostic potential of selected biomarkers in an independent Chinese cohort of 47 patients and 109 controls	26408641	Gut	128	128	Colorectal Neoplasms;Health	D006262;D015179
PRJNA731589	WGS	Metagenomic sequencing of microbial DNA extracted from stool samples of CRC and HS	Microbial DNA extracted from fecal sample from CRC patients and healthy subjects.	35087227	Nature Microbiology	166	166	Colorectal Neoplasms;Health	D006262;D015179
PRJNA534511	16S	The Gut Microbiome Identifies Risk for Colorectal Polyps	Characterization of the gut microbiome in subjects with and without polyps and evaluate the potential of the microbiome as a non-invasive biomarker to screen for risk of colorectal cancer.	31275588	BMJ Open Gastroenterology	184	184	Adenomatous Polyps;Health	D006262;D018256
PRJNA222611	16S;WGS	Microbiome analysis of stool samples from African Americans with colon polyps	Colonic polyps are common tumors occurring in ~50% of Western populations with ~10% risk of malignant progression. Dietary agents have been considered the primary environmental exposure to promote colorectal cancer development. However, the colonic mucosa is permanently in contact with the microbiota and its metabolic products including toxins that also have the potential to trigger oncogenic transformation. The goal of this study was to analyze fecal DNA for microbiota composition and functional potential in African Americans with pre-neoplastic lesions. This study reveals that at the pre-neoplastic stages, there is a trend showing microbiota changes between healthy and colon polyp patients at the sub-genus level.	24376500	Plos One	21	24	Colonic Polyps;Health	D003111;D006262
PRJEB50080	16S	The oral microbiota in colorectal cancer is distinctive and predictive	Background and aims Microbiota alterations are linked with colorectal cancer (CRC) and notably higher abundance of putative oral bacteria on colonic tumours. However, it is not known if colonic mucosa-associated taxa are indeed orally derived, if such cases are a distinct subset of patients or if the oral microbiome is generally suitable for screening for CRC. Methods We profiled the microbiota in oral swabs, colonic mucosae and stool from individuals with CRC (99 subjects), colorectal polyps (32) or controls (103). Results Several oral taxa were differentially abundant in CRC compared with controls, for example, Streptococcus and Prevotellas pp. A classification model of oral swab microbiota distinguished individuals with CRC or polyps from controls (sensitivity: 53% (CRC)/67% (polyps); specificity: 96%). Combining the data from faecal microbiota and oral swab microbiota increased the sensitivity of this model to 76% (CRC)/88% (polyps). We detected similar bacterial networks in colonic microbiota and oral microbiota datasets comprising putative oral biofilm forming bacteria. While these taxa were more abundant in CRC, core networks between pathogenic, CRC-associated oral bacteria such as Peptostreptococcus, Parvimonas and Fusobacterium were also detected in healthy controls. High abundance of Lachnospiraceae was negatively associated with the colonisation of colonic tissue with oral-like bacterial networks suggesting a protective role for certain microbiota types against CRC, possibly by conferring colonisation resistance to CRC-associated oral taxa and possibly mediated through habitual diet. Conclusion The heterogeneity of CRC may relate to microbiota types that either predispose or provide resistance to the disease, and profiling the oral microbiome may offer an alternative screen for detecting CRC.	28988196	Gut	79	79	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJEB53415	16S	Analysis of an Indian colorectal cancer microbiome collection demonstrates universal cancer-associated patterns, but closest correlation with other Indian cohorts	It is increasingly being recognised that changes in the gut microbiome have either a causative or associative relationship with colorectal cancer (CRC). However, most of this research has been carried out in a small number of developed countries with high CRC incidence. It is unknown if lower incidence countries such as India have similar microbial associations. Having previously established protocols to facilitate microbiome research in regions with developing research infrastructure, we have now collected and sequenced microbial samples from 46 Indian CRC patients and 43 healthy volunteers. When comparing to previous global collections, these samples resemble other Asian samples, with relatively high levels of Prevotella. Predicting cancer status between cohorts shows good concordance. When compared to a previous collection of Indian CRC patients, there was better concordance, despite different sequencing technologies between cohorts. These results show that there does seem to be a global CRC microbiome, and that some inference between studies is reasonable. However, we also demonstrate that there is definite regional variation, with better concordance for location-matched comparisons. This emphasises the importance of developing protocols and advancing infrastructure to allow as many countries as possible to contribute to studies of their own populations.	10.1101/2022.10.24.513519


	bioRxiv	89	89	Colorectal Neoplasms;Health	D006262;D015179
PRJNA284542	16S	Stool sample Targeted Locus (Loci)	Fecal microbiota of colorectal cancer patients and normal subjects	NA	NA	31	31	Colorectal Neoplasms;Health	D006262;D015179
PRJEB6070	16S;WGS	Potential of fecal microbiota for early stage detection of colorectal cancer	Several bacterial species have been implicated in the development of colorectal carcinoma (CRC), but CRC-associated changes of fecal microbiota and their potential for cancer screening remain to be explored. Here we used metagenomic sequencing of fecal samples to identify taxonomic markers that distinguished CRC patients from tumor-free controls in a study population of 156 participants. Accuracy of metagenomic CRC detection was similar to the standard fecal occult blood test (FOBT) and when both approaches were combined, sensitivity improved >45% relative to the FOBT while maintaining its specificity. Accuracy of metagenomic CRC detection did not differ significantly between early and late-stage cancer and could be validated in independent patient and control populations (N=335) from different countries. CRC-associated changes in the fecal microbiome at least partially reflected microbial community composition at the tumor itself, indicating that observed gene pool differences may reveal tumor-related host-microbe interactions. Indeed, we deduced a metabolic shift from fiber degradation in controls to utilization of host carbohydrates and amino acids in CRC patients accompanied by an increase of lipopolysaccharide metabolism.	25432777	Molecular systems biology	1418	1419	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJNA389927	WGS	Viral and Bacterial Communities of Colorectal Cancer	Colorectal cancer is the second leading cause of cancer-related death in the United States and is a primary cause of morbidity and mortality throughout the world. Its risk has been linked to changes in colonic bacterial community composition. Viruses are another important component of the colonic microbial community, however they have yet to be studied in colorectal cancer despite their oncogenic potential. We evaluated the colorectal cancer virome (virus community) in stool using a cohort of 90 human subjects with either healthy, adenomatous (precancerous), or cancerous colons. We utilized 16S rRNA gene, whole shotgun metagenomic, and purified virus metagenomic sequencing methods to compare the colorectal cancer virome to the bacterial community. We identified no detectable difference in diversity (alpha or beta) between healthy, adenomatous, or cancerous colonic samples, but more sophisticated random forest models identified striking changes in the virus community. The majority of the cancer-associated virome consisted of temperate bacteriophages, suggesting that the community was indirectly linked to colorectal cancer by modulating bacterial community structure and function. Our data suggested that the influential phages did not exclusively infect influential bacteria, but rather acted through the community as a whole. These results provide foundational evidence that bacteriophage communities are associated with colorectal cancer and likely impact cancer progression by altering the bacterial host communities.	30459201	MBio	83	85	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJNA531273	WGS	Association of Flavonifractor plautii, a flavonoid degrading bacterium, with the gut microbiome of colorectal cancer patients in India	Background
Recently, dysbiosis in the human gut microbiome and the potential role of several bacterial species are recognized as important factors in Colorectal cancer (CRC), which shows a high incidence in developed countries. In contrast, India is among the countries with very low incidence of CRC; and it is likely that distinct gut microbiome attributable to the differences in diets and lifestyle in the Indian population, plays a role in health and disease dynamics within this population. Thus, we performed metagenomic and metabolomic association studies on faecal samples from 30 CRC patients and 30 healthy controls from two different locations in India, to provide insights into the role of the gut microbiome (bacteriome and virome) in CRC in Indian populations, in contrast with global CRC datasets.

Results
The association of CRC with Flavonifractor plautii in Indian patients profiled herein emerged as a novel finding, since this bacterium has not previously been associated with CRC. The plausible role of F. plautii appears to be linked to the degradation of beneficial anti-carcinogenic flavonoids, which was correlated with significant associations with the enzymes and modules involved in flavonoid degradation within Indian CRC samples. Thus, we hypothesise that the degradation of beneficial flavonoids might be playing a role in cancer progression within this Indian cohort. In addition, the known associations of Bacteroides and other species with CRC, as observed in previous studies were also confirmed. We also identified 20 additional microbial taxonomic markers and 33 microbial gene markers that discriminated the Indian CRC from healthy microbiomes with high accuracy based on machine learning approaches.

Conclusion
This study reveals novel insights on the CRC-associated microbiome of a unique cohort of India, the potential role of a new bacterium in CRC, and identifies cohort-specific biomarkers, which can potentially be used in non-invasive diagnosis of CRC.	31719139	MSystems	30	30	Colorectal Neoplasms	D015179
PRJNA397112	WGS	Indian Human Gut Microbiome	Through Next Generation Sequencing we delineated the composition and functional detail of gut microbiota in various world populations. The relationship of the gut microbiota to health and disease is one of the primary goals of human microbiome studies. The microbiota of the Indian population is of particular interest to researchers because India encompasses a unique diversity in environmental conditions, diet and ethnic geographical population. In this study, we conduct 16s rRNA sequencing, shotgun metagenomic and metabolomics analysis of 110 healthy Indian subjects, which reveals novel gut microbial community structures	31719139	MSystems	30	30	Health	D006262
PRJDB4176	WGS	metagenomic data from human fecal samples	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains health, early and advanced cancer stages.	31171880	Nature Medicine	576	576	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJNA576322	16S	Global studies of microbial diversity on human gut of colorectal cancer patients.	The raw sequences of 10 fecal samples from colorectal cancer patients using 16S rDNA sequencing.	34342236	Future Microbiology	0	10	Colorectal Neoplasms	D015179
PRJEB42013	WGS	Non-invasive, robust and specific fecal microbiota-based screening for the early detection of PDAC.	Pancreatic ductal adenocarcinoma (PDAC), the most frequent form of pancreatic cancer, poses an increasing disease burden worldwide. Recent evidence suggests a role for the microbiome in PDAC etiology and progression. We analysed the fecal microbiota in a prospectively recruited German population of treatment-naïve PDAC patients and healthy controls using shotgun metagenomic sequencing.	35260444	Gut	152	152	Carcinoma, Pancreatic Ductal;Health	D006262;D021441
PRJEB38625	WGS;16S	The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.	Pancreatic ductal adenocarcinoma (PDAC), the most frequent form of pancreatic cancer, poses an increasing disease burden worldwide. Recent evidence suggests a role for the microbiome in PDAC etiology and progression. We analysed the fecal and salivary microbiota in a prospectively recruited population of treatment-naïve PDAC patients, chronic pancreatitis patients and healthy controls using shotgun metagenomic and 16S rRNA amplicon sequencing.	35260444	Gut	337	337	Carcinoma, Pancreatic Ductal;Health	D006262;D021441
PRJNA726917	16S	Gut microbiota dynamics during chemotherapy in epithelial ovarian cancer patients are related to therapeutic outcome	Epithelial ovarian cancer (EOC) is one of the most lethal and silent gynecological tumors. Despite appropriate surgery and chemotherapy, relapse occurs in over half of patients with a poor prognosis. Recently, the gut microbiota (GM) has been hypothesized to influence the efficacy of anticancer therapies, but no data are available in EOC. Here, by 16S rDNA sequencing and inferred metagenomics, we profiled the GM of EOC patients at diagnosis and reconstructed its trajectory, along the course of neoadjuvant or adjuvant chemotherapy up to follow-up. Compared to healthy subjects, the GM of EOC patients was dysbiotic and severely affected by chemotherapy. Strikingly, discriminating patterns were identified in relation to the therapeutic response. Platinum-resistant patients showed a marked temporal reduction in GM diversity and increased instability, with loss of health-associated taxa and increased proportions of Coriobacteriaceae and Bifidobacterium. Notably, most of these microorganisms are lactate producers, suggesting increased lactate production, as supported by inferred metagenomics. In contrast, the GM of platinum-sensitive patients appeared overall more diverse and stable, and enriched in lactate utilizers from the Veillonellaceae family. In conclusion, we identified potential GM signatures of therapeutic outcome in EOC patients, which could open up new opportunities for cancer prognosis and treatment.	34439153	Cancers	24	24	Carcinoma, Ovarian Epithelial	D000077216
PRJNA841251	16S	The gut microbiome dynamic changes of lung cancer patients during Chemoradiotherapy	There are ongoing researches to explore promising biomarkers for predicting the survival after concurrent chemoradiotherapy (CCRT) in non-small cell lung cancer (NSCLC). We aimed to explore the dynamic changes of gut microbiota and to find the predictive role of the gut microbiome on the survival after CCRT.	35905860	International Journal of Radiation Oncology* Biology* Physics	41	41	Carcinoma, Non-Small-Cell Lung	D002289
PRJNA576323	16S	human metagenome Raw sequence reads	Non-small cell lung cancer (NSCLC) is the leading cause of cancer-related deaths worldwide. Although dysbiosis of lung and gut microbiota have been associated with NSCLC, their relative contributions are unclear; in addition, their roles in distant metastasis (DM) are still illusive. We conducted a comprehensive survey on both fecal and sputum (as a proxy for lung) microbiota in NSCLC patients of various stages, including stage Ⅳ patients suffered from distant metastasis (DM), and compared them with healthy controls of matching demographic and clinical characteristics	34787462	Microbiology Spectrum	0	114	Carcinoma, Non-Small-Cell Lung;Health	D002289;D006262
PRJNA905530	16S	gut microbiome sequencing	To explore the structural composition of gut microbiota in elderly patients with hepatocellular carcinoma, fecal samples from participants were collected and sequenced by a high throughput sequencer.	NA	NA	27	39	Carcinoma, Hepatocellular;Health	D006262;D006528
PRJNA494824	WGS	human gut metagenome	Gut metagenomic raw sequence reads of cancer patients	32138779	Microbiome	31	31	Adenocarcinoma of Lung;Breast Neoplasms;Colonic Neoplasms;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Ovarian Neoplasms;Pancreatic Neoplasms;Prostatic Neoplasms;Rectal Neoplasms;Small Cell Lung Carcinoma	D000077192;D001943;D003110;D010051;D010190;D011471;D012004;D015464;D055752
PRJNA345373	16S	Investigation of the association between the fecal microbiota and breast cancer in postmenopausal women: A population-based case-control pilot study	We investigated whether the gut microbiota differed in 48 postmenopausal breast cancer cases, pre-treatment, versus 48 controls. Microbiota profiles in fecal DNA were determined by Illumina sequencing and taxonomy of 16S rRNA genes. Estrogens were quantified in urine. Case-control comparisons employed linear and unconditional logistic regression of microbiota α-diversity (PD_whole tree) and UniFrac analysis of β-diversity, with two-sided statistical tests. Total estrogens correlated with α-diversity in controls (Spearman Rho=0.37, P=0.009) but not cases (Spearman Rho=0.04, P=0.77). Compared to controls, cases had statistically significantly altered microbiota composition (β-diversity, P=0.006) and lower α-diversity (P=0.004). Adjusted for estrogens and other covariates, odds ratio of cancer was 0.50 (95% confidence interval =0.30–0.85) per α-diversity tertile. Differences in specific taxa were not statistically significant when adjusted for multiple comparisons. This pilot study shows that postmenopausal women with breast cancer have altered composition and estrogen-independent low diversity of their gut microbiota. Whether these affect breast cancer risk and prognosis is unknown.	26032724	JNCI: Journal of the National Cancer Institute	94	94	Breast Neoplasms;Health	D001943;D006262
PRJNA383849	16S	Association of breast cancer, urinary estrogens and prostaglandin E with the IgA-stained and -unstained fecal microbiota	We investigated hormonal, gut microbial, and immunologic characteristics associated with breast cancer in postmenopausal women. Microbiota metrics employed 16S rRNA sequences (Illumina) from IgA-stained and –unstained fecal microbes. Compared to healthy controls, breast cancer cases had reduced alpha diversity and altered composition of both IgA-positive and IgA-negative microbiotas. IgA-positive Immune System Diseases metabolic pathways were increased, and both IgA-positive and IgA-negative Genetic Information Processing pathways were decreased in cases (P<0.01). Urine estrogen levels were non-significantly elevated in cases; estrogens also were directly correlated with alpha diversity of the IgA-negative microbiota of the control women (P=0.012). Urine prostaglandin E metabolite levels were not associated with alpha diversity or case status. Thus, postmenopausal breast cancer had significant, but differing, associations with both IgA-positive and IgA-negative gut microbiotas, suggesting that the gut microbiota may influence breast cancer risk not only through enterohepatic cycling of estrogens but also through other pathways.	29360814	British journal of cancer	288	288	Breast Neoplasms;Health	D001943;D006262
PRJNA658160	16S	Ghana Breast Health Study microbiome data	The gut microbiota may play a role in breast cancer etiology by regulating hormonal, metabolic, and immunologic pathways. We investigated associations of fecal bacteria with breast cancer and non-malignant breast disease in a case-control study conducted in Ghana, a country with rising breast cancer incidence and mortality. To do this, we sequenced the V4 region of the 16S rRNA gene to characterize bacteria in fecal samples collected at the time of breast biopsy (N=379 breast cancer cases, N=102 non-malignant breast disease cases, N=414 population-based controls).	33460452	International journal of cancer	935	960	Breast Diseases;Breast Neoplasms;Health	D001941;D001943;D006262
PRJNA751260	16S	16srRNA data of patients with breast diseases	we used 16s rRNA gene sequencing to explore intestinal flora dysbiosis in benign breast lesions patients and breast cancer patients.	35675827	Polish Journal of Microbiology	55	66	Breast Diseases;Breast Neoplasms;Health	D001941;D001943;D006262
PRJNA718520	WGS	The microbiome influences prognosis and side effects in early breast cancer	The microbiome repertoire influences prognosis and side effects of the clinical management in early breast cancer	33963313	Cell Death and Differentiation	76	76	Breast Neoplasms	D001943
PRJNA453965	WGS	Studies of human gut metagenome Metagenome in breast cancer patients.	To explore the taxonomies and functional capacity of the gut microbiota in patients with breast cancer.	30081953	Microbiome	133	133	Breast Neoplasms;Health	D001943;D006262
PRJNA566060	16S	relationships between sleep, microbiota and pain in breast cancer patients	The changed intestinal microbiota composition may be a potential mediator of the sleep-pain interaction.	33211236	Sleep and Breathing	36	36	Breast Neoplasms	D001943
PRJNA479838	WGS	human stool Raw sequence reads	Intestinal flora diversity in patients with adenomatous polyps	31892851	International Journal of Biological Sciences	35	35	Adenomatous Polyps	D018256
PRJEB44169	16S	Gut microbiome data of never-smoking subjects with lung adenocarcinoma	Gut microbiome data of never-smoking subjects with lung adenocarcinoma	34586729	Clinical and Translational Medicine	91	91	Adenocarcinoma of Lung	D000077192
PRJNA716780	WGS	Mothers/children Metagenome	human gut microbiome from Italian children and mothers pairs (including siblings and twins). A subgroup of children has Neuroblastoma, sampled at the onset and during therapy.	36653448	Nature	212	213	Health;Neuroblastoma	D006262;D009447
PRJNA799168	16S	Gut microbiome analysis by high-throughput sequencing between healthy people and CRC patients	We employed 16S rDNA high-throughput sequencing for the feces of healthy volunteers and CRC patients. The results indicated a significant difference in the composition of gut microbiota between healthy and CRC specimens. In the healthy population, the majority of bacterial taxa were Clostridia phyla, while in CRC patients, the phyla Actinobacteria, Bacilli and Bacteroidia displayed obviously higher abundances. Consistent with the results in a murine study, the Ruminococcaceae family showed a higher abundance, while the Eubacterium dolichum species showed a lower abundance in the healthy population than in CRC patients.	NA	NA	16	16	Colorectal Neoplasms;Health	D006262;D015179
PRJNA421352	16S	Gut microbiome in Children with Acute Lymphoblastic Leukemia (ALL)	This study provides a unique gut microbiome dataset for childhood leukemia patients undergoing chemotherapy.	31754744	Microbial Ecology	58	59	Health;Precursor Cell Lymphoblastic Leukemia-Lymphoma	D006262;D054198
PRJNA478252	16S	fecal microbial composition	The aim was to investigate the characteristic of intestinal microbial composition in patients with gastric cancer	30535886	Digestive Diseases and Sciences	204	204	Health;Stomach Neoplasms	D006262;D013274
PRJNA428932	16S	Gut microbiota analysis associated with hepatocellular carcinoma (human)	Here we report 16s rRNA data in gut microbiota of hepatocellular carcinoma (HCC) patients with HBV induced HCC (HBVC) and non-HBV induced HCC (NHBVC) compared with healthy volunteers. A total of 2047 operational taxonomic units (OTUs) were identified in the sequence data. Our data shows that the NHBVC patients harbor lower anti-inflammatory bacteria and more pro-inflammatory bacteria, while the HBVC patients harbor more anti-inflammatory bacteria. Overall design: Microbial DNA from fecal samples [healthy control (n=33), NHBVC patients (n=26), HBVC (n=35) was amplified by PCR using universal bacterial primers, and 16S rRNA genes were pyrosequenced.	30675188	Gut Pathogens	90	90	Carcinoma, Hepatocellular;Health	D006262;D006528
PRJNA533024	16S	Gut microbiota in Childhood acute lymphoblastic leukemia	Temporal changes of gut microbiota in children with acute lymphoblastic leukemia (ALL) whilst undergoing, and after cessation, of chemotherapy, and comparison with healthy children	32093640	BMC Cancer	0	13	Health;Precursor Cell Lymphoblastic Leukemia-Lymphoma	D006262;D054198
PRJNA429097	WGS	Microbiota Research on Chinses Colorectal Cancer	An increasing number of metagenomics researches found Gut microbiota (GM) were implicated with CRC. Here, we collected 168 fecal samples from Chong Qing CRC patients for studying the GM in Chinese typical population. We found that diet influenced CRC patients’ GM in composition and metabolic. Besides, specific species and gene fragments in CRC patients were discovered in familiar paired samples, and which were identified in other countries’ CRC patients.	31971861	Gut Microbes	193	193	Colorectal Neoplasms;Health	D006262;D015179
PRJEB22863	WGS	Gut mictobiota composition correlation with the clinical outcome of NSCLC and RCC patients treated with anti-PD-1 mAB	Immune checkpoint inhibitors (ICI) targeting the PD-1/PD-L1 axis induce sustained clinical responses in a sizeable minority of cancer patients. Here, we show that primary resistance to ICI can be due to an abnormal gut microbiota. Antibiotics (ATB) inhibited the clinical benefit of ICI in advanced cancer patients. Fecal microbiota transplantation (FMT) from cancer patients who responded to ICI (but not from non-responding patients) into germ-free or ATB-treated mice ameliorated the antitumor effects of PD-1 blockade. Metagenomics of patient stools at diagnosis revealed correlations between clinical responses to ICI and the relative abundance of Akkermansia muciniphila. Oral supplementation with A. muciniphila post-FMT with non-responder feces restored the efficacy of PD-1 blockade in an IL-12-dependent manner, by increasing the recruitment of CCR9+CXCR3+CD4+ T lymphocytes into tumor beds.	29097494	Science	127	127	Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell	D002289;D002292
PRJEB43119	WGS	Predicting Response to Immunotherapy for Melanoma With Gut Microbiome and Metabolomics	The PRIMM studies are two separate observational cohort studies recruiting subjects in parallel in the U.K. (PRIMM-UK) and Netherlands (PRIMM-NL) since 2018. These cohorts of previously ICI-naive advanced melanoma patients were used to study the role of the gut microbiome in ICI response using shotgun metagenomic sequencing of stool samples together with three additional cohorts of ICI-naive patients with advanced cutaneous melanoma (originating from Barcelona, Leeds, and Manchester).	35228751	Nature Medicine	165	165	Melanoma	D008545
PRJNA762360	16S;WGS	Intestinal Microbiota Signatures Predict Clinical Outcome and Immune-related Adverse Events in PD-1 Treated Melanoma Patients	The gut microbiome has been proposed to be a biomarker and a driver of response to immune checkpoint blockade therapy in cancer. However, reported microbial signatures have been inconsistent across cohorts. We hereby analyze a new melanoma patient cohort with the aim of comparing it with four previously published datasets in order to identify signatures of beneficial and detrimental taxa that potentially contribute to the resistance to anti-PD1 therapy and development of immune-related adverse events (irAEs).	35228752	Nature Medicine	50	50	Melanoma	D008545
PRJNA541981	16S;WGS	Gut microbiome in melanoma patients	Our goal was to characterize whether the pre-therapy gut microbiome is related to immunotherapy responses in melanoma patients	31597568	Genome Medicine	54	54	Melanoma	D008545
PRJNA770295	16S;WGS	Dietary fiber and probiotics impact the gut microbiome and melanoma immunotherapy response	Gut bacteria modulate response to immune checkpoint blockade (ICB) treatment in cancer, but the impact of diet and supplements on this interaction is not well-studied. We assessed fecal microbiota profiles, dietary habits, and commercially available probiotic supplement use in melanoma patients and performed parallel pre-clinical studies. Higher dietary fiber was associated with significantly improved progression-free survival in 128 patients on ICB, with the most pronounced benefit in patients with sufficient dietary fiber intake and no probiotic use. Findings were recapitulated in pre-clinical models, demonstrating impaired treatment response to anti-PD(L)-1 therapy in mice receiving a low fiber diet or probiotics, with a lower frequency of interferon-gamma-positive cytotoxic T-cells in the tumor microenvironment. Together, these data have clinical implications in patients receiving ICB for cancer. Additional resources related to software and analysis of this work is also publicly available on GitHub at https://github.com/mda-primetr/Spencer_et_al_2021.	34941392	Science	605	605	Melanoma	D008545
PRJNA615114	16S;WGS	The Gut Microbiome Is Associated with Clinical Response to Anti-PD-1/PD-L1 Immunotherapy in Gastrointestinal Cancer	This study provides 16S rRNA and metagenomic shotgun sequencing of fecal samples from gastrointestinal cancer patients receiving anti-PD-1 immunotherapy. The goals are to investigate this association in gastrointestinal (GI) tract malignancies and to identify commensal bacterial taxa that can be potentially used for patient stratification.	32855157	Cancer Immunology Research	43	114	Gastrointestinal Neoplasms	D005770
PRJNA751792	WGS	Intestinal Akkermansia muciniphila predicts clinical response to PD1 blockade in advanced non-small cell lung cancer patients	This study performed shotgun metagenomic microbiome profiling on 338 patients with NSCLC treated with first or second line immune checkpoint inhibitors to validate the prognostic significance of fecal Akkermansia muciniphila.	35115705	Nature medicine	338	338	Carcinoma, Non-Small-Cell Lung	D002289
